stop_transit_point_key,stopName,stop_latitude,stop_longitude
10091,FLAGSTOP SB SNT ANDREWS AT 800BLOCK,49.35442,"-123.13289"
10095,SB 203 ST AT 68 AV,49.12565,"-122.6604"
10096,EB 68 AV AT 203 ST,49.12612,"-122.65906"
10097,EB 68 AV AT 204A ST,49.12608,"-122.65476"
10099,WB 68 AV AT 204A ST,49.12622,"-122.65603"
101,SB VICTORIA DR AT THORNHILL DR,49.21307,"-123.06614"
1010,WB SMITHE ST AT CAMBIE ST,49.27705,"-123.11624"
10100,WB 68 AV AT 206 ST,49.12615,"-122.65238"
10101,SB 206 ST AT 68 AV,49.12567,"-122.65168"
10102,WB WILLIAMS AT 5100 BLOCK,49.14107,"-123.16802"
10103,SB 206 ST AT 66 AV,49.12289,"-122.65149"
10104,NB 206 ST AT 66 AV,49.12277,"-122.65131"
10107,EB 66 AV AT 20400 BLOCK,49.12249,"-122.6554"
10108,OLYMPIC VILLAGE STATION SOUTHBOUND,49.26661,"-123.11521"
1011,NB ARBUTUS ST AT W 33 AV,49.24243,"-123.15335"
10110,NB GRANVILLE ST AT DUNSMUIR ST,49.28346,"-123.11654"
10111,SB CAMBIE ST AT W 14 AV,49.25847,"-123.11521"
10114,NB 128 ST AT 80 AV,49.14843,"-122.86782"
10115,BROADWAY-CITY HALL STN SOUTHBOUND,49.26268,"-123.11485"
10116,NB CAMBIE ST AT W GEORGIA ST BAY 2,49.27986,"-123.11233"
10119,FLAGSTOP WB ADAMS RD,49.35925,"-123.39503"
1012,NB ARBUTUS ST AT VALLEY DR,49.24547,"-123.15318"
10120,FLAGSTOP EB ADAMS RD,49.35916,"-123.39491"
10121,FLAGSTOP WB GRAFTON RD,49.37213,"-123.36256"
10122,FLAGSTOP EB GRAFTON RD,49.372,"-123.36207"
10123,FLAGSTOP NB WINDJAMMER RD,49.3696,"-123.42284"
10124,FLAGSTOP NB MT GARDNER RD,49.39574,"-123.36285"
10126,PORT COQUITLAM TRAINBUS,49.26159,"-122.77432"
10128,FLAGSTOP EB CHIPPENDALE AT WESTHILL,49.34941,"-123.16317"
10129,NB CAMBIE ST AT W 45 AV,49.23006,"-123.11609"
1013,NB ARBUTUS ST AT NANTON AV,49.24797,"-123.1531"
10130,WB HIGHLAND CRT AT E CAMPUS RD,49.27919,"-122.91146"
10133,FLAGSTOP MILLERS LANDING,49.38842,"-123.32443"
10135,FLAGSTOP WB ON SKILIFT DR,49.34431,"-123.17208"
10137,FLAGSTOP NB 21 ST,49.33477,"-123.16797"
10138,WB 60 AV AT 179 ST,49.11152,"-122.72734"
10139,EB 64 AV AT SCOTT RD,49.1192,"-122.88932"
1014,NB ARBUTUS ST AT W KING EDWARD AV,49.25196,"-123.15292"
10140,NB 203 ST AT 66 AV,49.12322,"-122.65988"
10141,FLAGSTOP SB EAGLE CLIFF RD,49.39993,"-123.32064"
10143,WB 64 AV AT 122 ST,49.11936,"-122.88494"
10144,SB KNIGHT ST AT E 19 AV,49.25319,"-123.07612"
10145,KING EDWARD STATION SOUTHBOUND,49.24918,"-123.11571"
10147,EB 64 AV AT 122 ST,49.11917,"-122.88407"
10148,SB NESTOR ST AT TORY AV,49.28899,"-122.77852"
10149,WB DUNKIRK AV AT NESTOR ST,49.28767,"-122.77888"
10150,OAKRIDGE-41ST STATION SOUTHBOUND,49.23374,"-123.11642"
10152,OAKRIDGE-41ST STATION NORTHBOUND,49.23373,"-123.11617"
10153,NB SHAUGHNESSY ST AT SHAUGHNESSY PL,49.29429,"-122.77091"
10156,LANGARA-49TH AVE STATION SOUTHBOUND,49.22574,"-123.11675"
1016,NB ARBUTUS ST AT W 20 AV,49.25479,"-123.15285"
10160,EB 64 AV AT 124 ST,49.11912,"-122.87845"
10161,FLAGSTOP NB ON 27 ST AT 2000 BLOCK,49.34351,"-123.18888"
10163,SB KNIGHT ST AT E 17 AV,49.255,"-123.07605"
10164,EB 64 AV AT 126 ST,49.11907,"-122.87279"
10166,NB 15 ST AT PALMERSTON AV,49.341,"-123.15681"
10168,WB 64 AV AT 128 ST,49.11921,"-122.86836"
10169,EB 64 AV AT KING GEORGE BLVD,49.11893,"-122.84458"
10171,EB 64 AV AT 138 ST,49.11896,"-122.83945"
10172,LANGARA-49TH AVE STATION NORTHBOUND,49.2257,"-123.11628"
10173,MARINE DRIVE STATION SOUTHBOUND,49.20966,"-123.11707"
10174,MARINE DRIVE STATION NORTHBOUND,49.20966,"-123.11692"
10175,WB 64 AV AT 138 ST,49.11914,"-122.84054"
10176,EB 64 AV AT 140 ST,49.11898,"-122.83382"
10177,WB 64 AV AT 140 ST,49.11917,"-122.83475"
10178,WB 64 AV AT 142 ST,49.11919,"-122.82927"
10179,EB 64 AV AT 142 ST,49.11901,"-122.82834"
1018,NB CAMBIE ST AT W 7 AV,49.26464,"-123.11462"
10180,WB 64 AV AT 144 ST,49.11921,"-122.82383"
10181,EB 64 AV AT 144 ST,49.11901,"-122.82274"
10182,EB 64 AV AT 146 ST,49.11902,"-122.81726"
10183,WB 64 AV AT 146 ST,49.1192,"-122.81837"
